kernel,n,comp,block_size,run,kernel_time,total_time
a,2097152,1,64,5,0.000239,0.221761
a,2097152,1,64,6,0.00025,0.217323
a,2097152,1,64,7,0.000241,0.217498
a,2097152,1,64,8,0.000243,0.236935
a,2097152,1,64,9,0.000249,0.229732
a,2097152,1,64,10,0.000248,0.22846
a,4194304,1,64,1,0.000338,0.298817
a,4194304,1,64,2,0.000354,0.297862
a,4194304,1,64,3,0.000332,0.30464
a,4194304,1,64,4,0.000333,0.306522
a,4194304,1,64,5,0.000331,0.296168
a,4194304,1,64,6,0.000367,0.296779
a,4194304,1,64,7,0.000338,0.295235
a,4194304,1,64,8,0.000334,0.304186
a,4194304,1,64,9,0.000336,0.300337
a,4194304,1,64,10,0.000326,0.313889
a,8388608,1,64,1,0.000502,0.481613
a,8388608,1,64,2,0.000512,0.48341
a,8388608,1,64,3,0.000511,0.474315
a,8388608,1,64,4,0.000506,0.475389
a,8388608,1,64,5,0.000502,0.476635
a,8388608,1,64,6,0.000501,0.475877
a,8388608,1,64,7,0.000502,0.471988
a,8388608,1,64,8,0.000512,0.472502
a,8388608,1,64,9,0.000504,0.468439
a,8388608,1,64,10,0.000502,0.47886
a,16777216,1,64,1,0.000853,0.792855
a,16777216,1,64,2,0.001023,0.873232
a,16777216,1,64,3,0.000836,0.805794
a,16777216,1,64,4,0.00084,0.793082
a,16777216,1,64,5,0.000835,0.78552
a,16777216,1,64,6,0.000835,0.789423
a,16777216,1,64,7,0.000839,0.786289
a,16777216,1,64,8,0.000832,0.788027
a,16777216,1,64,9,0.000846,0.793499
a,16777216,1,64,10,0.00084,0.789154
a,33554432,1,64,1,0.001501,1.421214
a,33554432,1,64,2,0.0015,1.462764
a,33554432,1,64,3,0.001533,1.41967
a,33554432,1,64,4,0.001615,1.417321
a,33554432,1,64,5,0.001502,1.416016
a,33554432,1,64,6,0.001507,1.421143
a,33554432,1,64,7,0.001646,1.477055
a,33554432,1,64,8,0.001507,1.45382
